Date,Year,Type,Country,Area,Location,Activity,Injury,Species 
5/16/12,2012,Unprovoked,FIJI,,Matacucu Reef,Spearfishing,Lacerations to head,
1/3/12,2012,Unprovoked,AUSTRALIA,New South Wales,North Avoca Beach,Surfing,Right forearm and wrist injured,2 m shark
12/21/11,2011,Watercraft,SOUTH AFRICA,Eastern Cape Province,Noordhoek; Port Elizabeth,Kayak Fishing,No injury but kayak dented,
11/29/11,2011,Unprovoked,INDONESIA,Bali,Tabanan,Surfing,Lacerations to right hand,
9/4/11,2011,Unprovoked,AUSTRALIA,Western Australia,Bunker Bay,Body boarding,FATAL,White shark
8/17/11,2011,Invalid,USA,North Carolina,Wrightsville Beach; New Hanover County,,Abrasions to left hand,Shark involvement not confirmed
6/29/11,2011,Unprovoked,BRAZIL,Pernambuco,Praia do Pina,Surfing,Lacerations to right thigh,
3/24/11,2011,Unprovoked,MEXICO,Quintana Roo,Gaviotas Beach; Cancun,Swimming,Lower leg & foot bitten,Bull shark
12/5/10,2010,Unprovoked,EGYPT,South Sinai Peninsula,Middle Garden; Sharm el-Shiekh,Snorkeling,FATAL,Oceanic whitetip shark; 2.5m
11/9/08,2008,Sea Disaster,TAIWAN,,50 miles off Kaohsiung,Fishing boat swamped in storm,FATAL,
6/20/08,2008,Unprovoked,USA,Florida,Fernandina Beach; Nassau County,Wading,Lacerations to lower right calf,
5/10/08,2008,Unprovoked,AUSTRALIA,Western Australia,Albany,Swimming,Severe lacerations to left leg,White shark; 4m
10/29/07,2007,Unprovoked,USA,Hawaii,Wailea; Maui,Floating,Lacerations to left lower leg,Tiger shark
9/28/07,2007,Unprovoked,BAHAMAS,Grand Bahama Island,Sweetings Cay,Spearfishing,Thigh bitten,Caribbean reef shark
8/19/07,2007,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,Foot bitten,4' to 5' shark
7/28/07,2007,Unprovoked,USA,California,Imperial Beach; San Diego County,Surfing,No injury; shark bit surfboard,
7/17/07,2007,Invalid,USA,California,Faria Beach; Ventura County,Swimming,Foot injured. Shark involvment uncomfirmed,Shark involvement not confirmed
5/10/07,2007,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,Knee bitten,4' to 5' shark
5/7/07,2007,Unprovoked,USA,Hawaii,Keawakapu Beach; Maui,Snorkeling,Right foot bitten,Tiger shark; 14'
3/12/07,2007,Unprovoked,AUSTRALIA,Queensland,Moore Park; north of Bundaberg,Swimming,Bruises to arm and hand; laceration to lower leg & minor injuries to foot,2 to 2.5 m shark
5/27/06,2006,Unprovoked,USA,Hawaii,North Shore; O'ahu,Surfing,No injury; shark bumped surfboard,
5/19/06,2006,Unprovoked,USA,Guam,Gun Beach,Scuba diving,Laceration to leg,Tiger shark; 10' to 12'
11/2/05,2005,Unprovoked,USA,California,Mavericks; Half Moon Bay; San Mateo County,Surfing,No injury; board bitten,
6/2/05,2005,Unprovoked,USA,Texas,Mustang Island; Corpus Christi,Wading,Two 2-inch lacerations on right foot,
5/2/05,2005,Unprovoked,USA,Hawaii,Noreiga's; Maui,Surfing,No injury; board damaged,Tiger shark; 3 m [10']
10/30/04,2004,Invalid,NEW ZEALAND,North Island,Whangarei,,No injury,Invalid
5/22/04,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach; Recife,Wading,Hips & thighs bitten,
9/21/03,2003,Unprovoked,USA,Florida,Ponce Inlet; New Smyrna Beach; Volusia County,Surfing,Left foot bitten,
9/13/03,2003,Unprovoked,USA,South Carolina,Isle of Palms; Charleston County,Standing; stepped on shark,Ankle lacerated,7' shark
7/4/03,2003,Unprovoked,BAHAMAS,Abaco Islands,10 miles west of Walker’s Cay,Spearfishing,Left calf bitten,2.1 m  [7'] bull shark
5/3/03,2003,Unprovoked,USA,Florida,Daytona Beach Shores; Volusia County,Walking,Laceration to right lower leg,
4/20/03,2003,Unprovoked,USA,Florida,Sunglow Pier; Daytona Beach Shores; Volusia County,Surfing,Small lacerations to foot,0.9 m to 1.2 m [3' to 4'] shark
6/3/02,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati,Snorkeling (filming the sardine run),Upper arm bitten,1.5 to 2.5 m [5' to 8.25'] copper shark
9/30/01,2001,Watercraft,AUSTRALIA,Queensland,Moreton Bay; NE of Brisbane,,No injury from shark,4 m [13'] white shark
9/3/01,2001,Unprovoked,USA,North Carolina,Avon; Hatteras Island; Outer Banks; Dare County,Swimming,Left buttock & foot  severed,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.
1/9/01,2001,Unprovoked,USA,California,Sunset Cliffs; San Diego,Surfing,Foot bruised; board dinged,1.8 m to 2.4 m [6' to 8'] black finned shark
12/24/00,2000,Unprovoked,AUSTRALIA,Queensland,Flinders Cay,Scuba diving,Hand bitten,
11/6/00,2000,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach; Perth,Swimming,Leg & feet lacerated,White shark; 4.9 m [16']
10/14/00,2000,Unprovoked,USA,Florida,South Beach; Sebastian; Indian River County,Swimming,Right hand lacerated,
9/16/00,2000,Unprovoked,USA,South Carolina,Isle of Palms; Charleston County,,Non-fatal,
5/9/00,2000,Invalid,AUSTRALIA,Victoria,Koonya Beach; Melbourne,,Probable drowning,Shark involvement prior to death was not confirmed
2/1/00,2000,Unprovoked,AUSTRALIA,South Australia,Point Sinclair; Cactus Beach near Penong,Surfing,Hand bitten,3 m [10'] shark
12/31/99,1999,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Swimming,Arm bitten,Sevengill shark
6/17/99,1999,Unprovoked,USA,Florida,South of Ponce Inlet; Volusia County,Surfing,Right hand and wrist lacerated,3' to 4' shark
6/9/99,1999,Unprovoked,USA,Florida,Atlantic Dunes Park; Delray Beach; Palm Beach County,Splashing / wading,Knee lacerated,Blacktip or spinner shark
1/1/99,1999,Watercraft,NEW ZEALAND,North Island,Papamoa; near Tauranga; Bay of Plenty,Inflatable boat,No injury to occupant: boat lost,
1/3/99,1999,Invalid,AUSTRALIA,Northern Territory,Gulf of Carpenteria,Fishing,Cut foot; but injury caused by fishing line; not the shark,Shark involvement not confirmed
7/11/98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,Knee bitten,5' to 6' shark
4/21/98,1998,Unprovoked,USA,Oregon,Gleneden Beach,Surfing (lying prone on his board),Right thigh bitten,5 m [16.5'] white shark
1/1/98,1998,Unprovoked,NEW CALEDONIA,South Province,l'Anse-Vata,Windsurfing,No injury; board bumped & fin damaged,1.7 m shark
11/5/97,1997,Invalid,AUSTRALIA,New South Wales,Botany Bay?,Unknown,5 m white shark obsrved feeding on remains 6 days later,Shark involvement prior to death suspected but not confirmed
8/5/97,1997,Unprovoked,USA,Texas,East Beach; Galveston,Wading,Wrist & am bitten,1 m shark
1/1/97,1997,Watercraft,AUSTRALIA,Victoria,Seal Rocks; Phillip Island,Watching seals,No injury to occupants; shark bit 2 of the dinghy's 3 floation chambers,White shark
4/28/96,1996,Unprovoked,USA,Hawaii,La'ie Point; O'ahu,,No details,
2/26/96,1996,Unprovoked,AUSTRALIA,New South Wales,Charles Street Wharf; Parramatta River,Dived naked into the water on a bet,Left leg & right testicle bitten,Bronze whaler shark
9/17/95,1995,Unprovoked,USA,Florida,Daytona Beach; Volusia County,Swimming,Left elbow and bicep bitten,
2/19/93,1993,Sea Disaster,TONGA,Tongapatu Group,Between 'Ata and Tongapatu,Sea disaster,Puncture wounds to right thigh,
11/11/92,1992,Unprovoked,USA,California,San Nicholas Island; Santa Barbara County,Scuba diving (submerged),Foot punctured,Unidentified shark
10/15/92,1992,Unprovoked,AUSTRALIA,New South Wales,Avalon Beach,Scuba diving,Minor injury while delivering pup of female shark caught in a net,Grey nurse shark
8/21/92,1992,Invalid,USA,Hawaii,Twin Arches; Hana Ranch; Maui,Fell from cliff while fishing & disappeared in strong current,Body recovered next morning. Injuries appeared to be inflicted post mortem,Questionable incident
11/26/91,1991,Unprovoked,USA,Hawaii,Olowalu; Maui,Snorkeling,FATAL; right leg at hip; left leg and right forearm severed,Tiger shark; 2.4 m 3.4 m [8' to 11']
7/7/91,1991,Unprovoked,USA,Florida,South Miami Beach; Dade County,Swimming,Arm bitten,
4/24/91,1991,Provoked,BRAZIL,Pernambuco,Praia de Pau Amarelo; Recife,Fishing,2 fingers severed by netted shark PROVOKED INCIDENT,170-kg; 2.8 m shark
10/30/90,1990,Unprovoked,USA,Florida,Melbourne Beach; Brevard County,Surfing,Hand & wrist bitten; tooth fragments in wound,1.8 m [6'] shark
8/19/90,1990,Unprovoked,USA,Texas,Near Port Aransas; Nueces County,Wade fishing,Minor injury,
5/10/90,1990,Unprovoked,AUSTRALIA,Queensland,Outer Barrier Reef near Port Douglas,Snorkeling,Lacerations,2 m hammerhead
4/8/90,1990,Unprovoked,AUSTRALIA,Queensland,Dingo Reef; 80 nm off Townsville,Free diving for trochus,Presumed FATAL,
4/23/89,1989,Unprovoked,USA,Florida,Loggerhead Park; Juno Beach; Palm Beach County,Swimming,Right calf bitten,1.2 m [4'] shark
1/3/89,1989,Unprovoked,AUSTRALIA,New South Wales,Half Tide Beach; Evans Head,Surfing with dolphins,Abdomen lacerated; surfboard holed,Tiger shark; 4 m [13']
6/9/88,1988,Unprovoked,USA,South Carolina,Sea Pines Beach Club; Hilton Head; Beaufort County,Sittting in water with his child,Left leg bitten,Sand shark?
4/28/88,1988,Unprovoked,REUNION,Saint-Louis,Embouchure de l'étang du Gol,pêcheur de bichiques,FATAL,
1/14/88,1988,Provoked,USA,Louisiana,,Fishing,Hand bitten by captured shark PROVOKED INCIDENT,Mako shark
12/6/86,1986,Unprovoked,USA,California,Monastery Beach; Carmel River State Park; Monterey Peninsula; Monterey California,Free diving  & spearfishing (submerged),Punctured lung; lacerations to shoulder; face; jaw; neck & forearm,5 m to 6 m [16.5' to 20'] white shark
2/12/84,1984,Invalid,SOUTH AFRICA,Eastern Cape Province,St. George’s Strand,,Human remains recovered; evidence of scavenging by shark/s,Shark involvement prior to death was not confirmed
7/25/83,1983,Sea Disaster,AUSTRALIA,Queensland,Off Lodestone Reef; Great Barrier Reef; north of Townsville,14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,Left knee bitten; but survived,Tiger shark; 5 m [16.5']
1/24/83,1983,Provoked,USA,South Carolina,60 miles southeast of Beaufort,Fishing,Leg bitten by captive shark PROVOKED INCIDENT,
8/29/82,1982,Unprovoked,SOUTH AFRICA,Western Cape Province,Langebaan,Swimming,Left knee; lower leg & foot bitten,
9/28/81,1981,Unprovoked,USA,Florida,Cocoa Beach; Brevard County,Surfing,5 puncture marks to hip,
2/16/81,1981,Unprovoked,AUSTRALIA,Western Australia,Leighton Beach; north of Freemantle,Exercising his dog in the shallows,Puncture wounds to foot,1 m hammerhead shark
8/4/80,1980,Unprovoked,USA,Hawaii,Puamana; Lahaina; Maui,Resting on body board,Torso bitten,Tiger shark; 4.3 m [14']
1/1/80,1980,Invalid,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Spearfishing,"No injury, 2 m shark made threat display and impaled itself on spear",Invalid
12/21/79,1979,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kenton-on-Sea,Swimming,Shin lacerated,
3/24/79,1979,Unprovoked,USA,Florida,Singer Island; Riviera Beach; Palm Beach County,Surfing,Foot & ankle bitten,Blacktip or spinner shark
3/11/79,1979,Unprovoked,USA,California,Ano Nuevo Island; San Mateo; County,Scuba diving (submerged),No injury; swim fin bitten,White shark; 4 m to 5 m [13' to 16.5']
1/1/79,1979,Unprovoked,USA,Hawaii,South Kohala; Hawai'i,Fishing,FATAL; disappeared while fishing from shore; divers recovered his hand,
8/5/78,1978,Unprovoked,USA,California,Pajaro Dunes; Santa Cruz County,Wading,Punctures on leg (minor injury),2 m [6'9] shark
8/24/76,1976,Unprovoked,USA,Oregon,Winchester Bay,Surfing,No injury; board bitten,White shark; 4.5 m
3/1/75,1975,Sea Disaster,BANGLADESH,Ganges-Brahmaputra delta,,Ferry capsized,FATAL; of 190 passengers & crew thrown into the water; 50 people were said to have been killed by sharks,
2/7/75,1975,Unprovoked,AUSTRALIA,Queensland,Currumbin Rock,,Survived,
12/25/73,1973,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Spearfishing,Right leg severed at knee; abrasion on left ankle,
9/9/73,1973,Unprovoked,MEXICO,Baja California,Guadalupe Island,Free diving; Spearfishing,FATAL; leg bitten,White shark
5/6/72,1972,Unprovoked,FRENCH POLYNESIA,Tuamotus,Ahé Atoll,Spearfishing,Thigh bitten,1.5 m grey reef shark
1/1/72,1972,Unprovoked,FRANCE,Antibes,,Swimming,Shoulder injured,White shark
11/1/70,1970,Unprovoked,,,,,Extensive injuries,
6/13/70,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Wading,FATAL; body not recovered,
11/5/69,1969,Provoked,AUSTRALIA,New South Wales,Marineland; Sydney,,PROVOKED INCIDENT,
9/6/69,1969,Unprovoked,USA,California,Bird Rock; Tomales Point; near Marin County / Sonoma County border,Free diving for abalone,Leg & ankle severely bitten,White shark; 4.3 m 4.9 m [14' to 16']
6/27/69,1969,Unprovoked,USA,Florida,Florida Keys,Wading,No details,
2/17/69,1969,Provoked,AUSTRALIA,Tasmania,Taroona,Fishing,Lacerations to hand from hooked shark PROVOKED INCIDENT,7-gill shark
12/25/68,1968,Unprovoked,NEW ZEALAND,South Island,St. Clair Beach; Dunedin,Surfing,Hit in face by shark; arm abraded; surfboard bitten,White shark
12/9/68,1968,Unprovoked,AUSTRALIA,South Australia,Thistle Island,,Survived,White shark
6/9/68,1968,Unprovoked,USA,Florida,Mullet Key; Pinellas County,Clamming,Lacerations to lower right leg & andkle,
7/17/66,1966,Unprovoked,USA,Texas,Point Comfort; Calhoun County,Fishing,Lacerations to right foot,
7/2/66,1966,Watercraft,CARIBBEAN SEA,,Between USA & Cuba,,No injury to occupants; sharks bit chunks from boat,
1/14/66,1966,Sea Disaster,COLUMBIA,,Off Cartagena,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,10 survived; 51 perished.,Shark involvement not confirmed
12/19/65,1965,Unprovoked,JOHNSTON ISLAND,,,Freediving,No injury,Grey reef shark
12/10/65,1965,Watercraft,AUSTRALIA,South Australia,Cape Jervis,Fishing,No injury to occupants. Shark  gouged planks of boat,15' shark
11/21/65,1965,Unprovoked,PACIFIC OCEAN,250 miles southwest of O'ahu; Hawaii,Japanese fishing boat Taihei Maru No.10,Hauling dead shark aboard; when another shark leapt out of the water & bit him,Left forearm bitten; surgically amputated,
6/29/64,1964,Sea Disaster,BERMUDA,Hamilton,2 miles south of Castle Island Harbour entrance to Hamilton,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),7 rescued; 7 bodies recovered; 10 missing. Many sharks in crash area.,
3/28/64,1964,Sea Disaster,PAPUA NEW GUINEA,Central Province,30 miles from Port Moresby,Canoe capsized with 10 occupants; 8 survived;  Hamilton swam off to seek help,Presumed FATAL,
5/18/63,1963,Invalid,USA,California,San Mateo County,Swimming,3 lacerations below right knee,Shark involvement not confirmed
4/12/63,1963,Unprovoked,USA,Hawaii,Awili; South Kona; Hawai'i,Surfing,Left foot & leg bitten,3.7 to 4.5 m [12' to 15'] shark seen in vicinity
1/30/63,1963,Unprovoked,FIJI,,,Freediving,Hand & arm severely lacerated,
12/30/62,1962,Provoked,SOUTH AFRICA,KwaZulu-Natal,Shark tank at Oceanographic Research Institute,Scuba diving,Captive shark bit air hose & minor lacerations on diver's cheek PROVOKED INCIDENT,Dusky shark; 1 m
6/17/62,1962,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Rolled off raft,8 laceration on left calf,1.8 m [6'] shark
2/5/62,1962,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,Treading water,FATAL; tissue removed from thigh; femoral artery severed,White shark; 3 m
1/7/62,1962,Unprovoked,AUSTRALIA,New South Wales,Sydney,Surfing,No injury; shark bumped board flipping him into the water,
4/16/61,1961,Unprovoked,USA,Florida,Fowey Rock Light; Miami,Spearfishing,Thigh bitten,Tiger shark; 3 m [10']
1/3/61,1961,Unprovoked,SOUTH AFRICA,Western Cape Province,Strandfontein,Standing,Lower left leg bitten; abrasions on back of right leg,
10/1/60,1960,Unprovoked,PAPUA NEW GUINEA,New Britain,East Nakanai; Talasea,Collecting shells,Injuries to leg & foot,
8/25/59,1959,Invalid,JAPAN,Hokkaido Prefecture,Okushiri Island; Hiyama Subprefecture,,Survived (no injury?),Questionable incident
7/31/58,1958,Unprovoked,MEXICO,Guerrero,Caleta Beach; Acapulco,Swimming,FATAL,
4/30/58,1958,Provoked,USA,Florida,1 mile off Miami Beach,Free diving,Grabbed shark’s tail; shark bit his thigh PROVOKED INCIDENT,Nurse shark; 1.5 m [5']
4/1/58,1958,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Nasigilatu (Near Malasanga; Finschhafen; in the Huon Gulf),Fishing; holding fish in his left hand,Left forearm amputated,
2/1/58,1958,Provoked,USA,US Virgin Islands,Water Island,Spearfishing on Scuba,Chest bitten by speared shark PROVOKED INCIDENT,Nurse shark; 1.5 m [5']
7/12/56,1956,Unprovoked,USA,South Carolina,Isle of Palms; Charleston County,Swimming,Arm & leg injured,
8/8/55,1955,Unprovoked,AMERICAN SAMOA,Tutuila Island,Pago Pago Bay,Swimming,FATAL; abdomen bitten,Blue shark
3/1/55,1955,Provoked,AUSTRALIA,Western Australia,Woodman’s Point,Competing in U/W endurance record; standing beside drum in 10' of water,Leg of wetsuit torn after spear fired at shark  PROVOKED INCIDENT,
12/4/54,1954,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Rocket Hut Beach; Durban,Swimming,Shallow lacerations on torso,Reported as  a shark bite but toothmarks appear to be those of a dolphin
1/1/54,1954,Unprovoked,PAPUA NEW GUINEA,West New Britain Province,Volupai; Talasea,Swimming,Leg & abdomen lacerated,
7/19/51,1951,Unprovoked,USA,California,Long Beach; Los Angeles County,,Severe laceration to foot,
,1950,Unprovoked,GREECE,,Piraeus; Athens,Swimming,FATAL,
,1949,Watercraft,AUSTRALIA,South Australia,18 miles south of Port Augusta,,,
9/15/48,1948,Sea Disaster,MID ATLANTIC OCEAN,,Bound from New York to London in ballast,Leicester abandoned in a hurricane,FATAL; 2 men killed by sharks; 20 survived,
8/3/48,1948,Unprovoked,IRAN,Shatt-al-Arab River,Bashamir,Swimming,Quadriceps lacerated; femur exposed,
6/6/48,1948,Unprovoked,NORTHERN MARIANA ISLANDS,Saipan,,Swimming,Heel bitten,
7/1/47,1947,Invalid,GREECE,Carpathian Sea,Dodecanese Islands,Jumped overboard,Shark involvement  unconfirmed,Questionable
6/27/47,1947,Unprovoked,USA,Hawaii,Off Waianae; O'ahu,Fishing,Left forearm; arm & leg lacerated,
8/24/46,1946,Unprovoked,ISRAEL,Gaza,Jura Village,Fishing,Laceration to back,
9/23/45,1945,Unprovoked,HONG KONG,,Tweed Beach,Bathing,FATAL,
5/4/44,1944,Unprovoked,PANAMA,Caribbean Sea,,Washed overboard by swell,FATAL. His back was bitten as he was being towed to ship by rescuer; Lieut (j.g.) Stanley Kurta; then the shark pulled him below the surface.,White shark; 2.4 m [8']
3/14/44,1944,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Country Club Beach; Durban,Treading water,Ankle severely lacerated,
12/12/43,1943,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Inyoni Rocks; Amazimtoti,Treading water,FATAL; abdomen; buttock & thigh lacerated,
6/8/42,1942,Invalid,BRAZIL,,,boat capsized during filming,Remains  recovered from 440-lb shark; but cause of death was probably drowning,Shark involvement prior to death unconfirmed
12/3/41,1941,Unprovoked,AUSTRALIA,Western Australia,Carnarvon,Swimming,Right ankle bitten,
9/1/40,1940,Unprovoked,PANAMA,Panama Bay (Pacific Ocean),Otoque Island,Bathing,FATAL,5.5 m [18'] shark
3/9/37,1937,Invalid,AUSTRALIA,Victoria,Port Melbourne,Swimming,Shark involvement prior to death was not confirmed,Shark involvement prior to death was not confirmed
12/1/36,1936,Watercraft,AUSTRALIA,Victoria,Mordialloc,Fishing,FATAL; his 2.4 m dinghy was found with 2' x 3' hole in its side & tooth fragments embedded in the planking,Thought to involve a 12' white shark
7/27/35,1935,Invalid,USA,California,Santa Barbara Channel,fishing boat exploded & sank,Although listed as an uprovoked fatal attack by SAF; shark bite on his ankle was post-mortem following death by drowning,Invalid
4/1/34,1934,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Danger Pool; Winkelspruit,Swimming,Right thigh lacerated,
2/22/34,1934,Unprovoked,CHILE,Elqui Province,Coquimbo,Fell into the water,FATAL,
6/13/33,1933,Invalid,AUSTRALIA,Northern Territory,Darwin,Fishing,No injury; shark chased him ashore,Invalid
12/25/30,1930,Unprovoked,AUSTRALIA,New South Wales,Homebush Bay; Parramatta River; Sydney,Swimming,Bumped by shark; legs abraded,
6/23/29,1929,Provoked,USA,Florida,Fort Pierce; St Lucie County,Fishing,Leg bitten by hooked shark PROVOKED INCIDENT,9-foot shark
4/4/28,1928,Unprovoked,AUSTRALIA,New South Wales,Cooks Hill; Newcastle,Standing in waist-deep water,FATAL; right hand severed; large lacerations on thigh,
4/25/24,1924,Unprovoked,AUSTRALIA,New South Wales,Kiama,Fishing; fell in water & swimming strongly to shore,FATAL; partial remains recovered,
1/15/22,1922,Unprovoked,AUSTRALIA,Queensland,Ross River; Townsville,Swimming,FATAL,
1/1/17,1917,Unprovoked,LIBYA,Mediterranean Sea,Tripoli,Diving for sponges,Bitten by shark; but  repelled it with his 'skandalopetra',
